Title,Content,Cluster,Concept
Ge - Variation - 3.txt,"A man found a macaw's nest with two young birds in a high and vertical cliff. He took his little brother-in-law along, chopped down a tree, leaned it against the wall of rock, and bade the boy climb. The boy went up, but the parent birds rushed at him with fierce screams; so he got frightened. Then the man got angry, knocked the tree aside, and left. The boy, unable to descend, remained sitting by the nest for five days. He nearly died of thirst and hunger. He was completely covered by the droppings of the macaws and swallows that flew above him. Then a jaguar came past, saw the boy's shadow, and tried in vain to catch it. Then the boy spat down, and now the jaguar raised his head and saw him. They entered into conversation. The jaguar demanded to have the two young macaws, which the hero flung down to him one after the other, and which he immediately devoured. Then the jaguar brought up the tree and asked the boy to step down, promising him that he would not eat him, and that he would give him water to quench his thirst. Somewhat hesitantly, the hero complied. The jaguar took him on his back and carried him to a creek. The boy drank his fill and fell asleep. At last the jaguar pinched his arm and awakened him. He washed the dirt off him and said that, having no children, he would take him home as his son. In the jaguar's home a huge jatoba trunk was lying on the floor and burning at one end. In those days the Indians were unacquainted with fire and ate only flesh dried in the sun. ""What is smoking there?"" asked the boy. ""That is fire,"" answered the jaguar. ""You will find out at night when it warms you."" Then he gave the roast meat to the boy, who ate till he fell asleep. At midnight he woke up, ate again, and then again fell asleep. Before daybreak the jaguar went hunting. The boy climbed a tree to await his return. But toward noon he got hungry, returned to the jaguar's house, and begged his wife for food. ""What!"" she shouted, baring her teeth. ""Look here!"" The hero cried out from fear and ran to meet the jaguar and told him of the occurrence. The jaguar scolded his wife, who excused herself, saying that she was merely jesting. But the same scene occurred again the next day. Following the advice of the jaguar (who had made him a bow and arrow and told him to shoot at a termite's nest), the boy killed the aggressive wife. His adopted father said, ""That does not matter,"" gave him a lot of roast meat, and explained to him how to return to his village by following along the creek. But he was to be on guard: if a rock or the aroeira tree called him, he should answer; but was to keep still if he heard ""the gentle call of a rotten tree."" The hero moved along the brook, replied to the first two calls and, forgetting the jaguar's warnings, to the third as well. That is why men are short-lived: if the boy had answered only the first two, they would enjoy as long life as the rock and the aroeira tree. After a while the boy again heard a call and replied to it. It was Magalon kamdure, an ogre, who tried unsuccessfully to pass himself off as the hero's father by means of various disguises (long hair, ear ornaments). When the hero finally discovered the ogre's identity, the latter wrestled with him until he was quite worn out, whereupon he put the boy in his big carrying basket. On his way home the ogre stopped to hunt coatis. Speaking from inside the basket, the hero called to him to make a trail through the woods first, so he could carry the load better. While the ogre was doing this, the hero escaped, after weighting the basket with a heavy stone. When the ogre reached home, he promised his children a choice morsel, even better than the coatis. But all he found in the bottom of the basket was a stone. Meanwhile the boy had found his way back to his village, where he related his adventures. All the Indians set off to look for the fire. Various animals offered their help: the jao was to extinguish the fallen embers; the jacu was spurned, but the tapir was considered strong enough to carry the tree. The jaguar gave them the fire. ""I have adopted your son,"" he said to the boy's father.",4,Fire
Ge - Variation - 5.txt,"The two civilizing heroes, Pud and Pudlere, formerly lived with men and put fire at their disposal. But when the heroes went away, they took the fire with them, and men were reduced to eating their meat raw, sun-dried, and accompanied by pau puba. It was during this period that the brothers-in-law undertook their expedition. The younger of the two men was abandoned on the cliff face, where he wept among the angry birds: ""After two days the birds became used to him. The macaw deposited its droppings on his head, which swarmed with vermin. He was hungry."" The end is similar to the other versions. The jaguar's wife was pregnant and liked to frighten the boy by threatening to eat him. The jaguar showed the boy the secret of the bow and arrows; and, following his advice, the boy wounded the wife in the paw and ran away. The Indians, after being informed of what had happened, organized a system of runners to get possession of the fire. ""But for the jaguar, they would still be eating their meat raw.""",4,Fire
Tenetehara.txt,"Tupan (the culture hero) traveled on this earth accompanied by his young godchild. One day they came to a large village where several relatives of his godchild lived; and Tupan left the child with these relatives, instructing them to treat him well. They did not, however, care for the boy; and on Tupan's return the boy complained of the bad treatment he had received. Tupan was angry. He told the boy to gather all the feathers he could find and to spread them around the edge of the village. Then Tupan set fire to the feathers, and the entire village was surrounded by the walls of fire. The inhabitants ran from side to side, but they were unable to escape. Little by little their cries became lower until they were transformed into the grunts of pigs; at the same time the people began to take on the form of peccaries and wild pigs. A few of them escaped into the dense forest, and the wild pigs that inhabit the forest today are their descendants. Tupan made his godchild, Marana-ywa, the owner of wild pigs.",5,Pigs
Mundurucu.txt,"It was the dry season, and everyone was hunting in the forest. Karusakaibo, the demiurge, with his son Korumtau, had taken up his abode in a shelter some distance from the main encampment. In those days there was only one kind of four-footed game, the caititu; and this was the only creature that was being hunted, apart from the fact that Karusakaibo went after the inhambu bird. 1 And every day he sent his son to his sisters' encampment (""to the neighbors"": Coudreau) to exchange the inhambus for the caititus killed by their husbands. Dissatisfied with this procedure, the boy's aunts eventually became angry and heaped reproaches on him (threw him nothing but the feathers and skins: Tocantins. He came back weeping and told his father what had happened. Karusakaibo instructed his son to surround the encampment with a wall of feathers, whose top would overhang like a roof (during the operation, the boy changed first into a bird and then into a toad). Then Karusakaibo puffed clouds of tobacco smoke into the interior. The occupants became dizzy, and when the demiurge cried out to them, ""Eat your food!"" they thought he was ordering them to copulate. ""They proceeded to have coitus and made the usual grunting sounds while doing so."" They were all changed into wild pigs. The husks they used to stuff their nostrils as a protection against the smoke became snouts, and their bodies were covered with bristles that Karusakaibo took from the anteater and threw at them. The other Indians, who had remained behind in the village proper, were completely ignorant of the fate that had befallen their companions. Each day Karusakaibo went secretly to the pighouse made of feathers (""the pig mountain""), and set down food in front of the partly open door in such a way as to attract a single pig. He would then kill it with an arrow, close the door, and return to the village with the animal. In the hero's absence Daii'ru (""the trickster"") wrested the secret of the enclosure from Korumtau; but through his clumsiness he allowed the pigs to escape. . . .",5,Pigs
Opaye.txt,"The women were busy collecting wood in a part of the forest that had been burned. One of them, who was still a girl, spotted the carcass of a queixada that a jaguar had left there. ""How I should love to be the jaguar's daughter!"" she exclaimed. ""I should get all the meat I wanted."" ""Nothing could be easier,"" replied the jaguar, appearing at that moment. ""Come with me. I will not hurt you."" The others looked for the girl in vain, and it was supposed that she had been devoured by the jaguar. But one day she came back and revealed her identity to her younger sister and her parents. She explained that with her husband the jaguar she wanted for nothing, and that he would be delighted to supply food to the Indians. ""What kind of game do you prefer?"" ""Anything!"" ""But state a preference. The jaguar will want to know."" ""All right. Tapir!"" ""Agreed,"" said the woman. ""But take care to see that the hut posts are strong. The jaguar will leave the meat on the roof."" The next day the father discovered that the roof was covered with well-grilled meat. They made a feast of it. Two days later the supply was renewed. After a time the jaguar wearied of carrying the meat and, through his wife, proposed that he should settle in the village. The father agreed. (He was afraid of the jaguar, but he was fond of meat.) Besides, the woman explained that the jaguar would not set up his hut too close to that of his parents-in-law; he would build it some distance away, so as not to be seen. The woman went away; she was beginning to know how to hunt as well as the jaguar. The next day the hut roof was covered with all kinds of meat: caititu, queixada, armadillo, and paca. The jaguar came to live with the Indians. His brother-in-law became friendly with the new couple who supplied him with choice game: jao, mutum, inhambu, and macuco. But the grandmother felt mistrust. The young woman was gradually turning into a beast of prey; black spots appeared on her body, and she grew claws on her hands and feet. Only her face remained human, although fangs were beginning to show in her mouth. The old woman therefore resorted to witchcraft and killed her granddaughter. The father was not very upset, but the whole family was afraid of the jaguar. His brother-in-law went to tell him that his wife was dead, and to ask him if he would take revenge or would agree to accept one of the dead woman's sisters in her place. ""No,"" replied the jaguar. ""There is no need for that. I shall leave. I do not wish you any harm. Perhaps you will remember me in years to come. . . ."" And the jaguar went off, incensed by the murder and spreading fear by his roaring; but the sound came from farther and farther away.",5,Pigs
Kayapo-KubenKranken.txt,"While camping on the outskirts of a village with his son, the culture hero O'oimbre sent the boy to ask for food from his mother's relatives. The boy was badly received, and as a revenge, O'oimbre made a charm with feathers and thorns and used it to change all the villagers into peccaries. They remained shut up in their huts as if they were pigsties; Takake, the brother-in-law and rival of O'oimbre, drew one of them out (by the means described in the preceding myth) and killed it. O'oimbre forced a confession from Takake's son, went to the pigsty and set the peccaries free.",5,Pigs
Bororo - Cera.txt,"Once upon a time the men of the Bokodori clan were supernatural spirits who lived happily in huts made of down and feathers, which were called ""macaws' nests."" When they wanted something, they would send one of their young brothers to their sister to ask her to obtain it for them from her husband. They expressed a desire for honey; the honey their brother-in-law invited them to eat in his hut was thick, sticky, and full of scum, because he had copulated with his wife while he was busy collecting it. The wife's brothers went away offended and decided to look on the river bed for the stone with which to pierce holes in palm-nut shells or the shells of shellfish—that is, for the technical means for the production of ornaments such as pendants and necklaces. They eventually discovered the stone and, with it, successfully carried out the work of piercing the holes. Success caused them to give a triumphant laugh, different from the laugh that expresses profane gaiety. Being curious to know the cause of the cries that she could hear from afar, the wife spied on her brothers and thus broke the rule forbidding her to look inside the feather hut. Because they had been insulted in this way, the Bokodori decided to put an end to their lives. First they solemnly shared out the ornaments between the various lineages, each ornament becoming an attribute of a particular lineage. Then they threw themselves simultaneously into a blazing fire (with the exception of their already married relatives, who were left to carry on the race). No sooner were they consumed by the fire than they changed into birds: red and yellow macaws, falcons, hawks, egrets. . . . The other inhabitants of the village decided to leave so somber a place. Only the sister would return regularly to the scene of the sacrifice to collect the plants growing among the ashes: urucu, cotton, and calabashes, which she shared out among her relatives.",19,Production
Cariri - Pigs - Tobacco.txt,"In the days when the demiurge lived with men, the latter asked him to let them taste wild pigs, which as yet did not exist. The Grandfather took advantage of the fact that all the Indians were away and had left only children under ten behind in the village, to change the latter into wild piglets. When the Indians returned, he advised them to go hunting, but at the same time sent all the piglets up into the sky by way of a big tree. The men, seeing this, followed the piglets into the sky and began killing them there. The demiurge thereupon ordered the ants to fell the tree, which the toads defended with their bodies. This is why today toads have swollen backs as a result of the stings. The ants succeeded in bringing down the tree. The Indians, being unable to get back to earth, put their belts end to end to make a rope. But as it was too short, they fell down one after another and broke their bones: ""This is why our fingers and toes are broken in so many places and why our bodies bend according to the breaks inflicted on our parents by their fall."" On returning to the village, the Indians feasted on the flesh of their children, who had been changed into piglets. They begged the Grandfather to come down from the sky (whither he had followed the children) and to return to the village: ""but he would not hear of it and gave them tobacco in his stead; they call it Badze and this is why, at certain times, they make offerings of tobacco.""",7,Tobacco
Bororo - Tobacco.txt,"Fishermen had settled themselves at the water's edge to grill their fish. One of them, with his knife, slit open the belly of a huddogo and discovered tobacco inside. He hid the fish and smoked only at night, without telling his companions. The latter smelled the aroma and caught him at it. He then decided to share the tobacco with them. But the Indians swallowed the smoke instead of blowing it out. ""That is not the way to smoke,"" said the supernatural spirit who appeared in the guise of a vampire. ""First, puff, saying, 'Grandfather, receive the smoke and keep evil away from me!' Otherwise, you will be punished, because this tobacco belongs to me."" The Indians did not obey; therefore, by the following morning they had become almost blind and had been changed into ariranhas. This is why these animals have such small eyes.",7,Tobacco
Matako - Jaguar.txt,"A man went fishing with Woman. Man climbed a tree to catch parrots, which he threw down to his Woman. But the Woman devoured the parrots. Man asked, ""Why are you eating the parrots?"" When man came down from the tree, Woman killed Man by breaking his neck with her teeth. When Woman returned to the village, her children ran toward her to see what the Woman was bringing. Woman showed them their father's head, saying that it was the head of an armadillo. During the night Woman ate her children and ran away. Woman changed herself into a jaguar. Jaguars are women.",6,Jaguar
Tereno-Tobacco.txt,"There was a Woman who was a sorceress. She defiled caraguata plants with menstrual blood. Woman served caraguata plants to her Man as food. The Man, having been told about this by his Son, announced that he was going to look for honey. After knocking the soles of his leather sandals together ""to find honey more easily,"" Man discovered a hive at the bottom of a tree and a snake. Man kept the pure honey for his Son, and for his Woman prepared a mixture composed of honey and the flesh of snake embryos taken from the belly of the one Man had killed. No sooner had the Woman begun to eat her portion than her body started to itch. As Woman scratched herself, she announced to her Man that Woman was about to devour Man. Man ran away and climbed to the top of a tree where there was a parrot's nest. He kept the Woman quiet temporarily by throwing to Woman the three nestlings, one after the other. While Woman was chasing the largest which was trying to flutter away from Woman, the Man ran off in the direction of a pit that he himself had dug for the purpose of catching game. Man avoided the pit, but the Woman fell into it and was killed. The Man filled in the hole and kept watch over it. An unknown plant eventually sprouted there. Out of curiosity the Man dried the leaves in the sun; at nightfall he smoked in great secret. Man's companions caught him at it and asked what he was doing. Thus it was that men came to have tobacco.",7,Tobacco
Bororo - Pigs.txt,"Day after day the Men would go fishing and catch nothing. Men would return to the village in a sad state of mind, not only because they were empty-handed, but also because their Women were sulking and gave them a poor welcome. The Women even got to the point of challenging the Men. Women declared that they would do the fishing. But in actual fact all Women did was to call on otters, who dived and fished in their stead. The Women returned laden with fish, and each time the Men tried to get their own back, Men caught nothing. After a time the Men suspected some sort of trick. They had the Women spied on by a Bird who revealed the truth. The next day, the Men went to the river, called the Otters, and strangled them one after another. Only one escaped. It was now the Men's turn to jeer at the Women, who caught nothing. The Women therefore determined to be avenged. Women offered Men a drink made with piqui fruits, whose kernels they had left covered with spikes. Choked by these spikes which stuck in their throats, the Men grunted, and were changed into wild pigs that give this cry.",5,Pigs
Tobo-Pilaga - Tobacco.txt,"One day a Woman and her Man went to catch parakeets. The Man climbed a tree containing several nests and threw down thirty or so fledglings to his Woman. He noticed that Woman gobbled them up. Seized with fear, Man caught hold of a larger bird and, as Man threw it down, called out, ""Here comes a fledgling, but look out, it can fly."" The Woman ran after the bird, and the Man took advantage of the situation to climb down and run away: Man was afraid Woman might eat him, too. But his Woman went after him, caught up with Man, and killed him. Then Woman cut off Man's head, which she put in a bag, and feasted on the rest of the body until her stomach was full. Woman had scarcely returned to the village when she felt thirsty. Before going to the drinking pool, which was some distance away, Woman forbade her five children to touch the bag. But the youngest immediately looked inside and called the others, who recognized their father. The whole village was now informed, and everybody took fright and ran away, except the children. When the Woman, on her return, was surprised to find the village empty, they explained that the villagers had left after insulting them, having fled through shame at their own spitefulness. The Woman was indignant and, wishing to avenge her children, went after the villagers. Woman caught up with them, killed a number of them, and devoured the bodies there and then. The same process was repeated several times. Terrified by these bloody comings and goings, the children wanted to escape. ""Do not try to run away,"" said the Woman, ""lest I eat you, too."" The children implored her. ""No, don't be afraid,"" Woman replied. No one was able to kill Woman, and the rumor soon spread that she was a jaguar-woman. The children secretly dug a pit, which they covered with branches. They took flight when their mother announced to them that their turn had now come to be eaten. Woman rushed after them and fell into the trap. The children went to ask for help from Carancho (the culture hero, a species of falcon, simultaneously a bird of prey and a carrion-eater), who advised them to hollow out a tree trunk and hide inside with him. The jaguar-woman tried to tear the tree with her claws, but they remained caught in the wood, so that Carancho was able to come out and kill her. Her corpse was burned on a woodpile. Four or five days later a plant sprang up from the ashes. This was the first appearance of tobacco. The claws were used to make collars for dogs, which were sent to all the villages, so that no one would be in doubt about the death of the jaguar-woman.",7,Tobacco
